n_states,log_likelihood,aic,bic,n_restarts,best_seed
2,-16526.591690724832,33095.183381449664,33232.270022496574,5,42
3,-13827.38067470688,27724.76134941376,27953.239084491943,5,46
4,-12214.142244469922,24530.284488939844,24863.2091886252,5,45
5,-11322.695312834512,22783.390625669024,23233.818160537445,5,42
6,-10487.840782388288,21153.681564776576,21734.667805403962,5,42
7,-9882.04950767936,19986.09901535872,20710.699832320963,5,46
8,-9390.21373300989,19050.42746601978,19931.698729892778,5,46
9,-9087.116738238588,18496.233476477177,19547.231057836827,5,45
10,-8815.460999589242,18008.921999178485,19242.701768600684,5,42
