n_states,log_likelihood,aic,bic,n_restarts,best_seed
2,-57614.75422786316,115271.50845572632,115434.46405364918,5,44
3,-50631.5758808122,101333.1517616244,101604.74442482916,5,44
4,-45359.02957769377,90820.05915538754,91215.80846462876,5,44
5,-41963.80505236196,84065.61010472392,84601.03564075616,5,46
6,-39260.43988971141,78698.87977942282,79389.50112300063,5,46
7,-36984.35751957966,74190.71503915932,75052.05177103728,5,44
8,-35305.10436584154,70880.20873168307,71927.78043261573,5,43
9,-33797.9322776988,67917.8645553976,69167.19080613951,5,46
10,-32445.587738518232,65269.175477036464,66735.77585834218,5,44
