n_states,log_likelihood,aic,bic,n_restarts,best_seed
2,-58048.73739566043,116139.47479132086,116302.43038924372,5,45
3,-50281.314634342845,100632.62926868569,100904.22193189045,5,45
4,-45616.31556924185,91334.6311384837,91730.38044772492,5,43
5,-41541.37070884477,83220.74141768954,83756.16695372178,5,43
6,-39034.81559852947,78247.63119705894,78938.25254063676,5,45
7,-36997.5106609258,74217.0213218516,75078.35805372956,5,46
8,-35420.06089626207,71110.12179252414,72157.6934934568,5,44
9,-34564.876874735506,69451.75374947101,70701.08000021293,5,42
10,-32972.40218883926,66322.80437767852,67789.40475898424,5,43
